,id,date,days_after_open,day_of_week,hours_after_open,drink_id,quantity,raining,study_area_id,location_name,dist_to_cafe,drink_name,order_sales
0,0,2019-07-22,0,Mon,0,5,1,No,3,Abercrombie (H70),700.0,Flat White (L),4.9
1,1,2019-07-22,0,Mon,0,5,1,No,1,Law Library (F10),84.0,Flat White (L),4.9
2,2,2019-07-22,0,Mon,0,2,1,No,5,Carslaw (F07),150.0,Macchiato,3.8
3,3,2019-07-22,0,Mon,0,2,1,No,6,Peter Nicol Russell (PNR),950.0,Macchiato,3.8
4,4,2019-07-22,0,Mon,0,5,1,No,5,Carslaw (F07),150.0,Flat White (L),4.9
5,5,2019-07-22,0,Mon,0,9,1,No,0,Fisher Library (F03),70.0,Cappuccino (L),4.9
6,6,2019-07-22,0,Mon,0,16,1,No,5,Carslaw (F07),150.0,Hot Chocolate (S),3.8
7,7,2019-07-22,0,Mon,0,5,1,No,4,Brennan MacCallum (A18),350.0,Flat White (L),4.9
8,8,2019-07-22,0,Mon,0,11,1,No,5,Carslaw (F07),150.0,Chai Latte (L),4.4
9,9,2019-07-22,0,Mon,0,9,1,No,1,Law Library (F10),84.0,Cappuccino (L),4.9
10,10,2019-07-22,0,Mon,0,4,1,No,0,Fisher Library (F03),70.0,Long Black (S),3.8
11,11,2019-07-22,0,Mon,1,10,2,No,5,Carslaw (F07),150.0,Cappuccino (S),8.0
12,12,2019-07-22,0,Mon,1,10,1,No,5,Carslaw (F07),150.0,Cappuccino (S),4.0
13,13,2019-07-22,0,Mon,1,0,1,No,5,Carslaw (F07),150.0,Espresso,3.5
14,14,2019-07-22,0,Mon,1,8,1,No,5,Carslaw (F07),150.0,Latte (S),4.0
15,15,2019-07-22,0,Mon,1,6,1,No,1,Law Library (F10),84.0,Flat White (S),4.0
16,16,2019-07-22,0,Mon,1,10,1,No,5,Carslaw (F07),150.0,Cappuccino (S),4.0
17,17,2019-07-22,0,Mon,1,2,1,No,1,Law Library (F10),84.0,Macchiato,3.8
18,18,2019-07-22,0,Mon,1,2,1,No,3,Abercrombie (H70),700.0,Macchiato,3.8
19,19,2019-07-22,0,Mon,1,5,2,No,0,Fisher Library (F03),70.0,Flat White (L),9.8
20,20,2019-07-22,0,Mon,1,0,4,No,0,Fisher Library (F03),70.0,Espresso,14.0
21,21,2019-07-22,0,Mon,1,5,1,No,4,Brennan MacCallum (A18),350.0,Flat White (L),4.9
22,22,2019-07-22,0,Mon,1,4,4,No,5,Carslaw (F07),150.0,Long Black (S),15.2
23,23,2019-07-22,0,Mon,1,15,1,No,6,Peter Nicol Russell (PNR),950.0,Hot Chocolate (L),4.6
24,24,2019-07-22,0,Mon,2,13,1,Yes,1,Law Library (F10),84.0,Mocha (L),5.4
25,25,2019-07-22,0,Mon,2,5,1,Yes,0,Fisher Library (F03),70.0,Flat White (L),4.9
