WindCodes,IPO_DATE,PCT_CHG,SWING,PCT_CHG_PER,SWING_PER,EV3,PE_TTM,PB_MRQ_GSD,WGSD_EPS_BASIC,WGSD_NETPROFITMARGIN,WGSD_ROE,WGSD_DEBTTOASSETS,WGSD_LIABS,WGSD_SALES_OPER,WGSD_NET_INC,WGSD_OPER_CF,WGSD_ASSETS,WGSD_GROWTH_SALES_1Y,WGSD_GROWTH_OP_1Y,WGSD_GROWTH_ASSET_1Y,WGSD_GROWTH_DEBT_1Y,WGSD_GROWTH_EPS_1Y,SEC_ENGLISHNAME
A.N,1999/11/18,11.881283,21.612584,-0.234033,8.075721,40265776607,49.710835,8.381719,2.33,13.4669,14.9465,49.3819,4754000000,5339000000,719000000,921000000,9627000000,3.408871,-10.095643,1.85146,1.062925,-31.671554,AGILENT
AAL.O,2013/12/9,43.310082,72.162334,10.947472,21.109475,14495258580,-1.836237,-1.82445,-18.36,-51.2488,254.4023,111.0744,68875000000,17337000000,-8885000000,-6543000000,62008000000,-62.119822,-399.405405,3.35528,14.575882,-583.157895,AMERICAN AIRLINES
AAP.N,2001/11/29,25.211702,42.739606,1.567738,9.545666,12905034519,26.175426,3.625507,7.17,4.8783,13.8711,69.9356,8280124000,10106321000,493021000,969688000,11839636000,4.092264,10.739685,5.255009,7.541843,4.366812,ADVANCE AUTO PAR
AAPL.O,1980/12/12,-3.747969,21.634143,-4.194836,10.977644,2.12E+12,27.840054,30.710664,3.31,20.9136,73.6856,79.8267,2.59E+11,2.75E+11,57411000000,80674000000,3.24E+11,5.51208,3.688409,-4.321214,4.24186,-72.347536,APPLE
ABBV.N,2012/12/10,11.918116,16.543855,7.410804,7.841878,2.07E+11,40.637138,15.084056,2.73,10.0908,188.2545,91.3014,1.37E+11,45804000000,4616000000,17588000000,1.51E+11,37.690134,-6.036804,68.955844,41.30151,-48.490566,ABBVIE
ABC.N,1995/4/4,23.756846,32.214894,-0.013473,9.78805,24657502469,-6.58144,-87.513673,-16.65,-1.7902,-366.53,101.8964,45114466000,1.90E+11,-3408716000,2207040000,44274830000,5.73799,1.053868,13.026786,24.698714,-509.090909,AMERISOURCEBERGEN
ABMD.O,1987/7/1,-14.74707,38.904688,-16.270827,28.678885,12501386693,55.432377,9.401836,5,26.6099,18.8319,11.0204,164684000,847522000,225525000,NaN,1494359000,0.789527,-7.889447,22.844692,9.065141,11.358575,ABIOMED
ABT.N,1929/1/1,8.4198,19.912998,-1.833333,8.054167,2.09E+11,36.566982,6.2365,2.52,12.9883,14.075,54.5087,39545000000,34608000000,4495000000,7901000000,72548000000,8.475426,18.203883,6.865821,8.087793,21.73913,ABBOTT LABORATORIES
ACN.N,2001/7/19,9.414697,20.621301,-1.611227,6.105336,1.89E+11,34.634056,10.323738,8.03,11.6979,32.5241,52.8052,19579420000,44327039000,5107839000,8215152000,37078593000,2.57324,3.307971,24.467077,30.859328,7.209613,ACCENTURE-A
ADBE.O,1986/8/13,-1.689594,20.926978,-4.383423,10.102876,2.35E+11,42.223907,17.349643,10.94,40.8766,44.2125,45.3797,11020000000,12868000000,5260000000,5727000000,24284000000,15.188057,29.646363,16.96143,7.69875,80.230643,ADOBE
ADI.O,1969/3/12,8.409354,14.718981,3.236874,11.555642,58816828613,37.688236,4.834086,3.31,21.7874,10.2987,44.114,9470658000,5603056000,1220761000,2008487000,21468603000,-6.476461,-14.155493,0.355085,-2.197512,-10.054348,ANALOG DEVICES
ADM.N,1924/12/24,32.847988,39.436808,13.275061,17.118038,36952557555,17.851477,1.77307,3.16,2.769,9.039,59.5808,29623000000,64355000000,1772000000,-2386000000,49719000000,-0.465541,6.771463,13.005432,19.863235,28.979592,ARCHER DANIELS MIDLAND
ADP.O,1961/9/12,10.747301,22.124214,0.689798,6.446761,82610126645,33.419689,14.559673,5.73,16.9056,44.2338,85.3131,33413300000,14589800000,2466500000,3026200000,39165500000,9.485359,25.082613,5.599549,-0.641706,55.706522,AUTOMATIC DATA PROCESSING
ADSK.O,1985/6/1,-7.919041,22.443833,-1.815896,12.484286,61740569381,51.101284,63.946732,5.51,31.8753,292.4008,86.7373,6314300000,3790400000,1208200000,1437200000,7279800000,15.762148,83.144105,17.809461,-0.06489,462.244898,AUTODESK
AEE.N,1952/12/15,9.058553,22.597791,-1.618349,5.44883,21594196306,22.540915,2.360537,3.53,15.1363,10.2489,71.6516,22950000000,5794000000,871000000,1727000000,32030000000,-1.962775,3.833866,10.70404,10.698437,4.747774,AMEREN
AEP.O,1949/9/1,5.431448,19.173649,-3.493997,5.583204,43108469504,18.908052,2.050041,4.44,14.7247,10.9264,74.2194,59937500000,14918500000,2200100000,3832900000,80757200000,-4.131376,8.695019,6.410268,7.279333,14.138817,AMERICAN ELECTRIC POWER
AES.N,1991/6/25,9.167169,27.409221,-9.781656,16.300612,16889623417,-68.657005,7.236343,0.07,1.5735,1.6341,83.8396,29011000000,9660000000,46000000,2755000000,34603000000,-5.191874,17.417557,2.838207,5.375758,-84.782609,AES
AFL.N,1974/6/14,26.768399,33.272352,6.441175,9.032135,37823481572,6.87075,1.178191,6.69,21.574,15.2852,79.6718,1.32E+11,NaN,4778000000,5958000000,1.65E+11,-0.717264,-5.820672,8.063207,6.233796,50.337079,AFLAC
AIG.N,1982/11/12,34.352946,42.922493,10.98177,16.494619,43361846893,-11.274531,0.697203,-6.88,-13.3277,-9.0035,88.542,5.19E+11,NaN,-5944000000,1038000000,5.86E+11,-12.081373,-60.343562,11.69705,13.470283,-281.530343,AMERICAN INTERNATIONAL
AIZ.N,2004/2/5,15.840782,30.770323,1.895735,6.524703,9505933049,22.035078,1.632705,7.04,4.3854,7.6145,86.6634,38695100000,NaN,441800000,1342000000,44649900000,0.079312,-11.169284,0.809867,0.222745,19.931857,ASSURANT
AJG.N,1985/6/5,19.003487,33.722741,7.61779,13.485249,28724869680,33.612064,4.267485,4.29,12.5129,14.4388,72.09,16098700000,NaN,818800000,1752500000,22331400000,-1.76763,39.455691,13.733779,11.64689,19.166667,ARTHUR J. GALLAGHER
AKAM.O,1999/10/29,8.07696,30.736261,7.676979,10.139495,18520604037,31.411991,4.285825,3.43,17.418,14.0861,45.2444,3512834000,3198149000,557054000,1215000000,7764130000,10.524268,22.920976,10.80714,4.894283,16.666667,AKAMAI
ALB.N,1994/2/22,7.372297,36.962649,6.376246,17.129006,18440881290,50.628796,3.209128,3.53,14.2738,9.1644,57.2422,5982352000,3128909000,375764000,798914000,10450946000,-12.829847,-24.066276,5.984091,3.729122,-29.821074,ALBEMARLE
ALGN.O,2001/1/26,10.015345,28.584528,-1.39215,18.612882,46524392443,101.552155,13.709548,22.55,71.8418,77.5491,33.0419,1595818000,2471941000,1775888000,662174000,4829683000,2.70671,-24.745618,93.133088,38.221948,304.847397,ALIGN TECHNOLOGY
ALK.N,1980/7/28,31.596154,50.307692,2.286996,13.87145,8518289095,-6.965077,2.962883,-10.72,-37.1284,-36.1798,78.727,11058000000,3566000000,-1324000000,-234000000,14046000000,-59.389591,-183.288166,8.104364,27.661048,-271.794872,ALASKA AIR
ALL.N,1993/6/3,24.711218,34.901876,10.759339,13.795068,40737001506,11.507627,1.652684,17.53,12.4489,19.8381,76.0158,95770000000,NaN,5576000000,5491000000,1.26E+11,0.259653,12.142108,5.03293,1.935031,23.017544,ALLSTATE
ALLE.N,2013/11/18,18.620644,33.238099,3.91091,9.203473,12383685490,29.352182,17.01757,3.41,11.5629,39.6143,72.8742,2236800000,2719900000,314300000,490300000,3069400000,-4.698669,-3.893116,3.444325,1.359434,-20.512821,ALLEGION
ALXN.O,1986/2/28,14.157706,20.577317,7.097394,8.580521,39420989863,57.818993,3.174811,2.74,9.9409,5.2646,35.6394,6451800000,6069900000,603400000,3002900000,18103000000,21.614474,33.646432,3.182746,2.85359,-74.55896,ALEXION PHARM
AMAT.O,1972/10/1,51.283095,69.672177,1.337585,18.881717,1.20E+11,26.981133,9.970848,3.95,21.0383,38.5164,52.6775,11775000000,17202000000,3619000000,3804000000,22353000000,17.757393,30.298507,17.498949,8.92692,36.678201,APPLIED MATERIAL
AMCR.N,2019/6/11,2.928188,20.860342,1.096121,9.865093,18486097447,21.450565,3.978071,0.382,4.9457,11.963,71.4933,11755000000,12467500000,612200000,1384200000,16442100000,33.784378,-1.304302,81.530224,40.574736,-23.6,AMCOR
AMD.O,1972/9/1,-14.883873,29.146222,-1.526429,21.067239,94844537387,32.886456,14.643282,2.1,25.5045,57.4792,34.8694,3125000000,9763000000,2490000000,1071000000,8962000000,45.045313,139.754816,48.67286,-2.374258,577.419355,ADVANCED MICRO DEVICES
AME.N,1997/8/1,9.639115,26.739325,1.13836,7.181603,30569080519,37.690468,4.994337,3.8,19.2166,15.7696,42.5599,4408137000,4540029000,872439000,1280980000,10357483000,-11.99033,-12.697345,5.210228,-6.786328,0.529101,AMETEK
AMGN.O,1983/6/1,11.163799,23.833936,-2.098717,11.565177,1.45E+11,20.430119,15.507541,12.4,28.5714,76.1346,85.0527,53539000000,25424000000,7264000000,10497000000,62948000000,8.826299,-4.229979,5.428174,7.005236,-4.320988,AMGEN
AMP.N,2005/9/15,31.251791,44.282216,4.723204,12.385243,29293799118,-450.673828,5.324209,12.39,13.0698,26.4574,96.4632,1.60E+11,NaN,1534000000,4623000000,1.66E+11,-6.403509,-9.31154,9.257186,9.525733,-12.252125,AMERIPRISE
AMT.N,1997/2/5,12.32314,26.331482,-0.73218,5.703091,1.14E+11,59.263321,29.30966,3.81,21.0346,36.9574,89.879,42453000000,8041500000,1690600000,3881400000,47233500000,6.084192,7.405892,10.354519,17.225878,-10.772834,AMERICAN TOWER
AMZN.O,1997/5/14,-0.28401,20.663628,-2.609238,12.793693,1.64E+12,60.88102,15.852518,42.64,5.5252,27.4417,70.9198,2.28E+11,3.86E+11,21331000000,66064000000,3.21E+11,37.623431,57.478853,42.596161,39.588082,81.756181,AMAZON
ANET.N,2014/6/6,15.610696,26.334446,8.52906,11.630537,25638787313,37.899616,7.428652,8.35,27.381,20.4203,29.9357,1418628000,2317512000,634557000,735114000,4738919000,-3.865838,-13.166223,13.227972,9.919697,-25.843694,ARISTA NETWORKS
